,id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,mass,planet_radius,orbital_radius,orbital_period,eccentricity
16,16,2MASS J12073346-3932539 b,210.0,5 Jupiters,20.15,2004,https://exoplanets.nasa.gov/exoplanet-catalog/7065/2mass-j12073346-3932539-b/,Gas Giant,5 Jupiters,1.15 x Jupiter,55.0 AU,2885.9 years,0.0
17,17,2MASS J19383260+4603591 b,1293.0,1.9 Jupiters,12.651,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7108/2mass-j193832604603591-b/,Gas Giant,1.9 Jupiters,1.2 x Jupiter,0.92 AU,416 days,0.0
18,18,2MASS J21402931+1625183 A b,108.0,20.95 Jupiters,17.3961,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7066/2mass-j214029311625183-a-b/,Gas Giant,20.95 Jupiters,0.92 x Jupiter,Unknown,20.1 years,0.26
19,19,2MASS J22362452+4751425 b,227.0,12.5 Jupiters,12.368,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7239/2mass-j223624524751425-b/,Gas Giant,12.5 Jupiters,1.1 x Jupiter,230.0 AU,4505.7 years,0.0
20,20,30 Arietis B b,146.0,13.82 Jupiters,7.09209,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6996/30-arietis-b-b/,Gas Giant,13.82 Jupiters,1.1 x Jupiter,0.99 AU,335.1 days,0.29
21,21,42 Draconis b,296.0,3.88 Jupiters,4.8262,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6997/42-draconis-b/,Gas Giant,3.88 Jupiters,1.16 x Jupiter,1.19 AU,479.1 days,0.38
22,22,47 Ursae Majoris b,45.0,2.53 Jupiters,5.03352,1996,https://exoplanets.nasa.gov/exoplanet-catalog/6998/47-ursae-majoris-b/,Gas Giant,2.53 Jupiters,1.18 x Jupiter,2.1 AU,3 years,0.03
23,23,47 Ursae Majoris c,45.0,0.54 Jupiters,5.03352,2001,https://exoplanets.nasa.gov/exoplanet-catalog/6999/47-ursae-majoris-c/,Gas Giant,0.54 Jupiters,1.27 x Jupiter,3.6 AU,6.6 years,0.1
24,24,47 Ursae Majoris d,45.0,1.64 Jupiters,5.03352,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7000/47-ursae-majoris-d/,Gas Giant,1.64 Jupiters,1.2 x Jupiter,11.6 AU,38.4 years,0.16
25,25,4 Ursae Majoris b,240.0,7.1 Jupiters,4.5801,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6985/4-ursae-majoris-b/,Gas Giant,7.1 Jupiters,1.13 x Jupiter,0.87 AU,269.3 days,0.43
26,26,51 Eridani b,97.0,2 Jupiters,5.21149,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7109/51-eridani-b/,Gas Giant,2 Jupiters,1.19 x Jupiter,13.2 AU,32 years,0.45
27,27,51 Pegasi b,50.0,0.46 Jupiters,5.45309,1995,https://exoplanets.nasa.gov/exoplanet-catalog/7001/51-pegasi-b/,Gas Giant,0.46 Jupiters,1.27 x Jupiter,0.0527 AU,4.2 days,0.01
28,28,55 Cancri b,41.0,0.8306 Jupiters,5.95084,1996,https://exoplanets.nasa.gov/exoplanet-catalog/7002/55-cancri-b/,Gas Giant,0.8306 Jupiters,1.24 x Jupiter,0.1134 AU,14.7 days,0.0
29,29,55 Cancri c,41.0,0.1714 Jupiters,5.95084,2004,https://exoplanets.nasa.gov/exoplanet-catalog/7003/55-cancri-c/,Gas Giant,0.1714 Jupiters,0.76 x Jupiter,0.2373 AU,44.4 days,0.03
30,30,55 Cancri d,41.0,3.878 Jupiters,5.95084,2002,https://exoplanets.nasa.gov/exoplanet-catalog/7004/55-cancri-d/,Gas Giant,3.878 Jupiters,1.16 x Jupiter,5.957 AU,15.3 years,0.13
31,31,55 Cancri e,41.0,7.99 Earths,5.95084,2004,https://exoplanets.nasa.gov/exoplanet-catalog/7005/55-cancri-e/,Super Earth,7.99 Earths,1.875 x Earth,0.01544 AU,0.7 days,0.05
32,32,55 Cancri f,41.0,0.141 Jupiters,5.95084,2007,https://exoplanets.nasa.gov/exoplanet-catalog/7006/55-cancri-f/,Gas Giant,0.141 Jupiters,0.677 x Jupiter,0.7708 AU,259.9 days,0.08
33,33,61 Virginis b,28.0,5.1 Earths,4.6955,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7007/61-virginis-b/,Neptune-like,5.1 Earths,2.11 x Earth,0.050201 AU,4.2 days,0.12
34,34,61 Virginis c,28.0,18.2 Earths,4.6955,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7008/61-virginis-c/,Neptune-like,18.2 Earths,0.398 x Jupiter,0.2175 AU,38 days,0.14
35,35,61 Virginis d,28.0,22.9 Earths,4.6955,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7009/61-virginis-d/,Neptune-like,22.9 Earths,0.456 x Jupiter,0.476 AU,123 days,0.35
36,36,6 Lyncis b,178.0,2.01 Jupiters,5.87307,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6986/6-lyncis-b/,Gas Giant,2.01 Jupiters,1.19 x Jupiter,2.11 AU,2.6 years,0.07
37,37,70 Virginis b,58.0,7.49 Jupiters,4.96808,1996,https://exoplanets.nasa.gov/exoplanet-catalog/7010/70-virginis-b/,Gas Giant,7.49 Jupiters,1.13 x Jupiter,0.481 AU,116.7 days,0.4
38,38,75 Ceti b,271.0,3 Jupiters,5.3532,2012,https://exoplanets.nasa.gov/exoplanet-catalog/7011/75-ceti-b/,Gas Giant,3 Jupiters,1.17 x Jupiter,2.1 AU,1.9 years,0.12
39,39,7 Canis Majoris b,65.0,1.85 Jupiters,3.95,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6987/7-canis-majoris-b/,Gas Giant,1.85 Jupiters,1.2 x Jupiter,1.758 AU,2 years,0.06
40,40,7 Canis Majoris c,65.0,0.87 Jupiters,3.95,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7505/7-canis-majoris-c/,Gas Giant,0.87 Jupiters,1.24 x Jupiter,2.153 AU,2.7 years,0.08
41,41,81 Ceti b,330.0,5.3 Jupiters,5.64307,2008,https://exoplanets.nasa.gov/exoplanet-catalog/7012/81-ceti-b/,Gas Giant,5.3 Jupiters,1.14 x Jupiter,2.5 AU,2.6 years,0.21
42,42,8 Ursae Minoris b,530.0,1.31 Jupiters,6.83295,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7100/8-ursae-minoris-b/,Gas Giant,1.31 Jupiters,1.22 x Jupiter,0.49 AU,93.4 days,0.06
43,43,91 Aquarii b,144.0,3.2 Jupiters,4.23946,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7013/91-aquarii-b/,Gas Giant,3.2 Jupiters,1.17 x Jupiter,0.7 AU,181.4 days,0.03
44,44,AB Pictoris b,163.0,13.5 Jupiters,9.13,2005,https://exoplanets.nasa.gov/exoplanet-catalog/7014/ab-pictoris-b/,Gas Giant,13.5 Jupiters,1.1 x Jupiter,260.0 AU,4421.7 years,0.0
45,45,Alpha Arietis b,66.0,1.8 Jupiters,2.00538,2010,https://exoplanets.nasa.gov/exoplanet-catalog/7038/alpha-arietis-b/,Gas Giant,1.8 Jupiters,1.2 x Jupiter,1.2 AU,380.8 days,0.25
46,46,Alpha Tauri b,67.0,6.47 Jupiters,0.872,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7107/alpha-tauri-b/,Gas Giant,6.47 Jupiters,1.13 x Jupiter,1.46 AU,1.7 years,0.1
47,47,AU Microscopii b,32.0,17 Earths,8.81,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7635/au-microscopii-b/,Neptune-like,17 Earths,0.363 x Jupiter,0.0645 AU,8.5 days,0.0
48,48,AU Microscopii c,32.0,13.6 Earths,8.81,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7939/au-microscopii-c/,Neptune-like,13.6 Earths,0.289 x Jupiter,0.1101 AU,18.9 days,0.0
49,49,b Centauri AB b,320.0,10.9 Jupiters,4.01,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8381/b-centauri-ab-b/,Gas Giant,10.9 Jupiters,1.11 x Jupiter,556.0 AU,4904.1 years,< 0.4
50,50,BD-00 4475 b,139.0,25.05 Jupiters,9.01,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7871/bd-00-4475-b/,Gas Giant,25.05 Jupiters,1.07 x Jupiter,1.48 AU,2 years,0.39
51,51,BD+03 2562 b,3492.0,6.4 Jupiters,9.577,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7176/bd03-2562-b/,Gas Giant,6.4 Jupiters,1.13 x Jupiter,1.3 AU,481.9 days,0.2
52,52,BD-06 1339 b,66.0,8.5 Earths,9.7,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7073/bd-06-1339-b/,Neptune-like,8.5 Earths,0.254 x Jupiter,0.0428 AU,3.9 days,0.0
53,53,BD-06 1339 c,66.0,0.17 Jupiters,9.7,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7074/bd-06-1339-c/,Gas Giant,0.17 Jupiters,0.747 x Jupiter,0.435 AU,125.9 days,0.31
54,54,BD-08 2823 b,135.0,12.7132 Earths,9.86,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7071/bd-08-2823-b/,Neptune-like,12.7132 Earths,0.322 x Jupiter,0.06 AU,5.6 days,0.15
55,55,BD-08 2823 c,135.0,0.33 Jupiters,9.86,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7072/bd-08-2823-c/,Gas Giant,0.33 Jupiters,1.11 x Jupiter,0.68 AU,237.6 days,0.19
56,56,BD-10 3166 b,275.0,0.59 Jupiters,10.013,2000,https://exoplanets.nasa.gov/exoplanet-catalog/7070/bd-10-3166-b/,Gas Giant,0.59 Jupiters,1.26 x Jupiter,0.04 AU,3.5 days,0.02
57,57,BD-11 4672 b,89.0,0.65 Jupiters,10.03,2014,https://exoplanets.nasa.gov/exoplanet-catalog/7069/bd-11-4672-b/,Gas Giant,0.65 Jupiters,1.25 x Jupiter,2.36 AU,4.5 years,0.05
58,58,BD-11 4672 c,89.0,15.37 Earths,10.03,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7664/bd-11-4672-c/,Neptune-like,15.37 Earths,0.36 x Jupiter,0.3 AU,74.2 days,0.4
59,59,BD-13 2130 b,3018.0,9.78 Jupiters,10.038,2007,https://exoplanets.nasa.gov/exoplanet-catalog/7068/bd-13-2130-b/,Gas Giant,9.78 Jupiters,1.11 x Jupiter,1.66 AU,2 years,0.21
60,60,BD+14 4559 b,161.0,1.04 Jupiters,9.78,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7075/bd14-4559-b/,Gas Giant,1.04 Jupiters,1.23 x Jupiter,0.78 AU,268.9 days,0.29
61,61,BD+15 2375 b,2505.0,1.061 Jupiters,10.41,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7025/bd15-2375-b/,Gas Giant,1.061 Jupiters,1.23 x Jupiter,0.576 AU,153.2 days,0.0
62,62,BD+15 2940 b,1391.0,1.11 Jupiters,9.01,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7076/bd15-2940-b/,Gas Giant,1.11 Jupiters,1.23 x Jupiter,0.539 AU,137.5 days,0.26
63,63,BD-17 63 b,112.0,5.1 Jupiters,9.62,2008,https://exoplanets.nasa.gov/exoplanet-catalog/7067/bd-17-63-b/,Gas Giant,5.1 Jupiters,1.15 x Jupiter,1.34 AU,1.8 years,0.54
64,64,BD+20 2457 b,5023.0,55.59 Jupiters,9.743,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7078/bd20-2457-b/,Gas Giant,55.59 Jupiters,1.03 x Jupiter,1.05 AU,379.6 days,0.15
65,65,BD+20 2457 c,5023.0,12.47 Jupiters,9.743,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7079/bd20-2457-c/,Gas Giant,12.47 Jupiters,1.1 x Jupiter,2.01 AU,1.7 years,0.18
66,66,BD+20 274 b,4314.0,4.2 Jupiters,9.367,2012,https://exoplanets.nasa.gov/exoplanet-catalog/7077/bd20-274-b/,Gas Giant,4.2 Jupiters,1.16 x Jupiter,1.3 AU,1.6 years,0.21
67,67,BD+20 594 b,585.0,22.2481 Earths,10.849,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7166/bd20-594-b/,Neptune-like,22.2481 Earths,0.23 x Jupiter,0.241 AU,41.7 days,0.0
68,68,BD+45 564 b,175.0,1.36 Jupiters,9.67,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7868/bd45-564-b/,Gas Giant,1.36 Jupiters,1.21 x Jupiter,0.83 AU,307.9 days,0.12
69,69,BD+48 738 b,2843.0,0.91 Jupiters,9.139,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6565/bd48-738-b/,Gas Giant,0.91 Jupiters,1.24 x Jupiter,1.0 AU,392.6 days,0.2
70,70,BD+48 740 b,2174.0,1.7 Jupiters,8.69,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7198/bd48-740-b/,Gas Giant,1.7 Jupiters,1.2 x Jupiter,1.7 AU,2 years,0.76
71,71,BD+49 828 b,1442.0,1.6 Jupiters,9.381,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6566/bd49-828-b/,Gas Giant,1.6 Jupiters,1.21 x Jupiter,4.2 AU,7.1 years,0.35
72,72,BD+55 362 b,171.0,0.72 Jupiters,9.38,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7873/bd55-362-b/,Gas Giant,0.72 Jupiters,1.25 x Jupiter,0.78 AU,265.6 days,0.27
73,73,BD+60 1417 b,147.0,15 Jupiters,9.374,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8360/bd60-1417-b/,Gas Giant,15 Jupiters,1.31 x Jupiter,1662.0 AU,67794.6 years,0.0
74,74,BD+63 1405 b,124.0,3.96 Jupiters,8.96,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7869/bd63-1405-b/,Gas Giant,3.96 Jupiters,1.16 x Jupiter,2.06 AU,3.3 years,0.88
75,75,Beta Cancri b,290.0,7.8 Jupiters,3.51012,2014,https://exoplanets.nasa.gov/exoplanet-catalog/7039/beta-cancri-b/,Gas Giant,7.8 Jupiters,1.12 x Jupiter,1.7 AU,1.7 years,0.08
76,76,Beta Pictoris b,64.0,11 Jupiters,3.85,2008,https://exoplanets.nasa.gov/exoplanet-catalog/7040/beta-pictoris-b/,Gas Giant,11 Jupiters,1.65 x Jupiter,9.1 AU,21 years,0.08
77,77,Beta Pictoris c,64.0,9 Jupiters,3.85,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7461/beta-pictoris-c/,Gas Giant,9 Jupiters,1.12 x Jupiter,2.7 AU,3.3 years,0.24
78,78,Beta Ursae Minoris b,126.0,6.1 Jupiters,2.0569,2014,https://exoplanets.nasa.gov/exoplanet-catalog/7041/beta-ursae-minoris-b/,Gas Giant,6.1 Jupiters,1.14 x Jupiter,1.4 AU,1.4 years,0.19
79,79,CD Ceti b,28.0,3.95 Earths,13.95,2020,https://exoplanets.nasa.gov/exoplanet-catalog/8025/cd-ceti-b/,Super Earth,3.95 Earths,1.82 x Earth,0.0185 AU,2.3 days,0.0
80,80,CFBDSIR J145829+101343 b,75.0,10.5 Jupiters,,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6567/cfbdsir-j145829101343-b/,Gas Giant,10.5 Jupiters,1.11 x Jupiter,2.6 AU,27.5 years,0.0
81,81,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7861/cfhtwir-oph-98-b/,Gas Giant,7.8 Jupiters,1.86 x Jupiter,200.0 AU,22027.4 years,0.0
82,82,CHXR 73 b,621.0,12.569 Jupiters,17.2934,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6568/chxr-73-b/,Gas Giant,12.569 Jupiters,1.1 x Jupiter,210.0 AU,5146.9 years,0.0
83,83,CI Tauri b,515.0,11.6 Jupiters,13.642,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7422/ci-tauri-b/,Gas Giant,11.6 Jupiters,1.11 x Jupiter,Unknown,9 days,0.25
84,84,COCONUTS-2 b,36.0,6.3 Jupiters,11.298,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7945/coconuts-2-b/,Gas Giant,6.3 Jupiters,1.11 x Jupiter,7506.0 AU,1101369.9 years,0.0
85,85,CoRoT-10 b,1104.0,2.75 Jupiters,15.293,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1327/corot-10-b/,Gas Giant,2.75 Jupiters,0.97 x Jupiter,0.1055 AU,13.2 days,0.53
86,86,CoRoT-11 b,2137.0,2.33 Jupiters,12.897,2010,https://exoplanets.nasa.gov/exoplanet-catalog/4931/corot-11-b/,Gas Giant,2.33 Jupiters,1.43 x Jupiter,0.0436 AU,3 days,0.0
87,87,CoRoT-12 b,3674.0,0.917 Jupiters,15.588,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1328/corot-12-b/,Gas Giant,0.917 Jupiters,1.44 x Jupiter,0.04016 AU,2.8 days,0.07
88,88,CoRoT-13 b,3748.0,1.308 Jupiters,15.005,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1329/corot-13-b/,Gas Giant,1.308 Jupiters,0.885 x Jupiter,0.051 AU,4 days,0.0
89,89,CoRoT-14 b,5691.0,7.6 Jupiters,15.932,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1330/corot-14-b/,Gas Giant,7.6 Jupiters,1.09 x Jupiter,0.027 AU,1.5 days,0.0
90,90,CoRoT-16 b,2389.0,0.535 Jupiters,16.052,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1331/corot-16-b/,Gas Giant,0.535 Jupiters,1.17 x Jupiter,0.0618 AU,5.4 days,0.33
91,91,CoRoT-17 b,3837.0,2.43 Jupiters,16.29,2011,https://exoplanets.nasa.gov/exoplanet-catalog/4932/corot-17-b/,Gas Giant,2.43 Jupiters,1.02 x Jupiter,0.0461 AU,3.8 days,0.0
92,92,CoRoT-18 b,2495.0,3.47 Jupiters,14.868,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1332/corot-18-b/,Gas Giant,3.47 Jupiters,1.31 x Jupiter,0.0295 AU,1.9 days,< 0.08
93,93,CoRoT-19 b,2579.0,1.11 Jupiters,14.135,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1333/corot-19-b/,Gas Giant,1.11 Jupiters,1.29 x Jupiter,0.0518 AU,3.9 days,0.05
94,94,CoRoT-1 b,2570.0,1.03 Jupiters,13.623,2008,https://exoplanets.nasa.gov/exoplanet-catalog/1237/corot-1-b/,Gas Giant,1.03 Jupiters,1.49 x Jupiter,0.02752 AU,1.5 days,0.0
95,95,CoRoT-20 b,2753.0,4.3 Jupiters,14.63,2011,https://exoplanets.nasa.gov/exoplanet-catalog/4933/corot-20-b/,Gas Giant,4.3 Jupiters,0.84 x Jupiter,0.09 AU,9.2 days,0.59
96,96,CoRoT-20 c,2753.0,17 Jupiters,14.63,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6349/corot-20-c/,Gas Giant,17 Jupiters,1.09 x Jupiter,2.9 AU,4.6 years,0.6
97,97,CoRoT-21 b,4563.0,2.26 Jupiters,16.058,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6429/corot-21-b/,Gas Giant,2.26 Jupiters,1.3 x Jupiter,0.0417 AU,2.7 days,0.0
98,98,CoRoT-22 b,2046.0,12.2 Earths,13.82,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1334/corot-22-b/,Neptune-like,12.2 Earths,0.435 x Jupiter,0.092 AU,9.8 days,0.08
99,99,CoRoT-23 b,3461.0,2.8 Jupiters,15.675,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1335/corot-23-b/,Gas Giant,2.8 Jupiters,1.05 x Jupiter,0.048 AU,3.6 days,0.16
100,100,CoRoT-24 b,1930.0,5.7 Earths,15.383,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4934/corot-24-b/,Neptune-like,5.7 Earths,0.33 x Jupiter,0.056 AU,5.1 days,0.0
101,101,CoRoT-24 c,1930.0,28 Earths,15.383,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1336/corot-24-c/,Neptune-like,28 Earths,0.44 x Jupiter,0.098 AU,11.8 days,0.0
102,102,CoRoT-25 b,3600.0,0.27 Jupiters,14.79,2013,https://exoplanets.nasa.gov/exoplanet-catalog/1337/corot-25-b/,Gas Giant,0.27 Jupiters,1.08 x Jupiter,0.0578 AU,4.9 days,0.0
103,103,CoRoT-26 b,3409.0,0.52 Jupiters,15.861,2013,https://exoplanets.nasa.gov/exoplanet-catalog/4935/corot-26-b/,Gas Giant,0.52 Jupiters,1.26 x Jupiter,0.0526 AU,4.2 days,0.0
104,104,CoRoT-27 b,3296.0,10.39 Jupiters,15.774,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1338/corot-27-b/,Gas Giant,10.39 Jupiters,1.007 x Jupiter,0.0476 AU,3.6 days,< 0.065
105,105,CoRoT-28 b,2499.0,0.484 Jupiters,13.783,2015,https://exoplanets.nasa.gov/exoplanet-catalog/1339/corot-28-b/,Gas Giant,0.484 Jupiters,0.955 x Jupiter,0.0603 AU,5.2 days,0.05
106,106,CoRoT-29 b,2631.0,0.85 Jupiters,15.408,2015,https://exoplanets.nasa.gov/exoplanet-catalog/1340/corot-29-b/,Gas Giant,0.85 Jupiters,0.9 x Jupiter,0.0386 AU,2.9 days,0.08
107,107,CoRoT-2 b,696.0,3.47 Jupiters,12.516,2008,https://exoplanets.nasa.gov/exoplanet-catalog/1238/corot-2-b/,Gas Giant,3.47 Jupiters,1.466 x Jupiter,0.02798 AU,1.7 days,0.01
108,108,CoRoT-30 b,3367.0,2.9 Jupiters,15.571,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7609/corot-30-b/,Gas Giant,2.9 Jupiters,1.009 x Jupiter,0.0844 AU,9.1 days,0.01
109,109,CoRoT-31 b,6543.0,0.84 Jupiters,15.479,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7610/corot-31-b/,Gas Giant,0.84 Jupiters,1.46 x Jupiter,0.0586 AU,4.6 days,0.02
110,110,CoRoT-3 b,2508.0,21.66 Jupiters,13.448,2008,https://exoplanets.nasa.gov/exoplanet-catalog/4936/corot-3-b/,Gas Giant,21.66 Jupiters,1.01 x Jupiter,0.05783 AU,4.3 days,0.0
111,111,CoRoT-4 b,2370.0,0.72 Jupiters,13.652,2008,https://exoplanets.nasa.gov/exoplanet-catalog/1239/corot-4-b/,Gas Giant,0.72 Jupiters,1.19 x Jupiter,0.09 AU,9.2 days,0.0
112,112,CoRoT-5 b,2879.0,0.467 Jupiters,14.043,2009,https://exoplanets.nasa.gov/exoplanet-catalog/1240/corot-5-b/,Gas Giant,0.467 Jupiters,1.388 x Jupiter,0.04947 AU,4 days,0.09
113,113,CoRoT-6 b,2105.0,2.96 Jupiters,13.961,2009,https://exoplanets.nasa.gov/exoplanet-catalog/1241/corot-6-b/,Gas Giant,2.96 Jupiters,1.166 x Jupiter,0.0855 AU,8.9 days,< 0.1
114,114,CoRoT-7 b,522.0,4.07661 Earths,11.728,2009,https://exoplanets.nasa.gov/exoplanet-catalog/1242/corot-7-b/,Super Earth,4.07661 Earths,1.681 x Earth,0.017016 AU,0.9 days,0.0
115,115,CoRoT-7 c,522.0,8.4 Earths,11.728,2009,https://exoplanets.nasa.gov/exoplanet-catalog/4937/corot-7-c/,Neptune-like,8.4 Earths,0.253 x Jupiter,0.046 AU,3.7 days,0.0
116,116,CoRoT-8 b,1050.0,0.22 Jupiters,14.792,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1243/corot-8-b/,Gas Giant,0.22 Jupiters,0.57 x Jupiter,0.063 AU,6.2 days,0.0
